VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-02-01 00:06:58,2022-02-01 00:19:24,1.0,5.4,1.0,N,138,252,1,17.0,1.75,0.5,3.9,0.0,0.3,23.45,0.0,1.25
1,2022-02-01 00:38:22,2022-02-01 00:55:55,1.0,6.4,1.0,N,138,41,2,21.0,1.75,0.5,0.0,6.55,0.3,30.1,0.0,1.25
1,2022-02-01 00:03:20,2022-02-01 00:26:59,1.0,12.5,1.0,N,138,200,2,35.5,1.75,0.5,0.0,6.55,0.3,44.6,0.0,1.25
2,2022-02-01 00:08:00,2022-02-01 00:28:05,1.0,9.88,1.0,N,239,200,2,28.0,0.5,0.5,0.0,3.0,0.3,34.8,2.5,0.0
2,2022-02-01 00:06:48,2022-02-01 00:33:07,1.0,12.16,1.0,N,138,125,1,35.5,0.5,0.5,8.11,0.0,0.3,48.66,2.5,1.25
1,2022-02-01 00:57:23,2022-02-01 01:07:31,2.0,2.3,1.0,N,140,142,1,10.0,3.0,0.5,2.75,0.0,0.3,16.55,2.5,0.0
1,2022-02-01 00:34:17,2022-02-01 01:01:32,1.0,7.5,1.0,N,140,36,1,25.0,3.0,0.5,5.0,0.0,0.3,33.8,2.5,0.0
2,2022-02-01 00:03:26,2022-02-01 00:07:30,1.0,0.88,1.0,N,48,68,1,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5,0.0
2,2022-02-01 00:13:31,2022-02-01 00:31:41,1.0,6.48,1.0,N,142,244,1,21.0,0.5,0.5,4.96,0.0,0.3,29.76,2.5,0.0
2,2022-02-01 00:52:11,2022-02-01 01:02:48,1.0,3.29,1.0,N,238,116,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96,0.0,0.0
2,2022-02-01 00:05:48,2022-02-01 00:28:22,2.0,9.71,1.0,N,132,36,1,27.5,0.5,0.5,7.2,0.0,0.3,37.25,0.0,1.25
1,2022-02-01 00:57:53,2022-02-01 01:01:15,0.0,0.7,1.0,Y,143,163,1,4.5,3.5,0.5,1.2,0.0,0.3,10.0,2.5,0.0
2,2022-02-01 00:10:11,2022-02-01 00:31:16,1.0,16.0,1.0,N,132,80,1,42.5,0.5,0.5,8.76,0.0,0.3,53.81,0.0,1.25
2,2022-02-01 00:35:38,2022-02-01 01:04:36,1.0,6.53,1.0,N,234,225,1,24.5,0.5,0.5,5.66,0.0,0.3,33.96,2.5,0.0
2,2022-02-01 00:23:16,2022-02-01 00:40:53,1.0,11.77,1.0,N,138,132,1,32.0,0.5,0.5,6.66,0.0,0.3,41.21,0.0,1.25
2,2022-02-01 00:06:34,2022-02-01 00:12:21,1.0,1.42,1.0,N,233,164,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
2,2022-02-01 00:14:54,2022-02-01 00:30:20,1.0,4.14,1.0,N,186,262,1,14.5,0.5,0.5,5.49,0.0,0.3,23.79,2.5,0.0
2,2022-02-01 00:26:17,2022-02-01 00:42:34,1.0,7.66,1.0,N,138,170,1,23.0,0.5,0.5,6.67,6.55,0.3,41.27,2.5,1.25
2,2022-02-01 00:55:21,2022-02-01 01:03:50,5.0,1.74,1.0,N,79,164,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5,0.0
2,2022-02-01 00:13:51,2022-02-01 00:53:50,1.0,11.28,1.0,N,132,225,2,37.0,0.5,0.5,0.0,0.0,0.3,39.55,0.0,1.25
1,2022-02-01 00:40:57,2022-02-01 00:47:01,1.0,2.6,1.0,N,233,263,1,9.0,3.0,0.5,2.55,0.0,0.3,15.35,2.5,0.0
1,2022-02-01 00:29:35,2022-02-01 00:53:43,1.0,17.0,2.0,N,132,164,1,52.0,3.75,0.5,12.6,6.55,0.3,75.7,2.5,1.25
1,2022-02-01 00:35:44,2022-02-01 01:04:35,2.0,16.2,2.0,N,132,162,1,52.0,2.5,0.5,12.35,6.55,0.3,74.2,2.5,0.0
2,2022-02-01 00:18:25,2022-02-01 00:42:38,1.0,15.25,1.0,N,132,252,1,41.5,0.5,0.5,13.22,0.0,0.3,57.27,0.0,1.25
2,2022-02-01 00:08:12,2022-02-01 00:35:58,1.0,7.36,1.0,N,249,256,1,25.5,0.5,0.5,5.86,0.0,0.3,35.16,2.5,0.0
2,2022-02-01 00:50:53,2022-02-01 01:06:55,1.0,3.23,1.0,N,107,48,1,13.0,0.5,0.5,4.2,0.0,0.3,21.0,2.5,0.0
2,2022-02-01 00:02:56,2022-02-01 00:12:52,1.0,1.45,1.0,N,164,264,2,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5,0.0
2,2022-02-01 00:33:58,2022-02-01 00:40:56,1.0,2.06,1.0,N,142,151,1,8.0,0.5,0.5,2.0,0.0,0.3,13.8,2.5,0.0
2,2022-02-01 00:47:11,2022-02-01 00:55:43,1.0,1.86,1.0,N,151,116,1,8.0,0.5,0.5,0.7,0.0,0.3,10.0,0.0,0.0
2,2022-02-01 00:02:06,2022-02-01 00:10:46,1.0,2.09,1.0,N,249,224,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0
2,2022-02-01 00:40:13,2022-02-01 00:45:48,2.0,1.24,1.0,N,249,144,1,6.0,0.5,0.5,2.0,0.0,0.3,11.8,2.5,0.0
2,2022-02-01 00:19:46,2022-02-01 00:57:18,1.0,20.26,2.0,N,132,238,1,52.0,0.0,0.5,10.0,6.55,0.3,70.6,0.0,1.25
2,2022-02-01 00:32:28,2022-02-01 01:02:22,1.0,10.45,1.0,N,132,198,1,32.0,0.5,0.5,6.91,0.0,0.3,41.46,0.0,1.25
2,2022-02-01 00:04:49,2022-02-01 00:23:46,1.0,11.37,1.0,N,263,171,1,31.5,0.5,0.5,8.37,6.55,0.3,50.22,2.5,0.0
1,2022-02-01 00:29:51,2022-02-01 01:01:55,1.0,17.9,2.0,N,132,48,1,52.0,3.75,0.5,11.3,0.0,0.3,67.85,2.5,1.25
2,2022-02-01 00:35:34,2022-02-01 00:43:48,1.0,1.45,1.0,N,249,148,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,0.0
1,2022-02-01 00:12:17,2022-02-01 00:41:33,0.0,19.2,2.0,N,132,262,1,52.0,3.75,0.5,15.75,6.55,0.3,78.85,2.5,1.25
1,2022-02-01 00:02:42,2022-02-01 00:30:16,1.0,19.4,2.0,N,132,75,1,52.0,1.25,0.5,15.1,6.55,0.3,75.7,0.0,1.25
2,2022-02-01 00:24:27,2022-02-01 00:28:40,3.0,1.73,1.0,N,229,236,1,6.5,0.5,0.5,2.0,0.0,0.3,12.3,2.5,0.0
